,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,TotCases1Mpop,Deaths1Mpop,TotalTests,Tests1Mpop,Population,Continent
111,110.0,Niger,951,6,62,1,786,103,0,39,3,5989,248,24103187,Africa
112,111.0,CostaRica,951,21,10,0,628,313,2,187,2,23580,4633,5089334,NorthAmerica
113,112.0,Cyprus,937,2,17,0,594,326,10,777,14,99733,82666,1206464,Asia
114,113.0,Zambia,920,0,7,0,336,577,1,50,0,20011,1092,18325629,Africa
115,114.0,Paraguay,865,3,11,0,344,510,0,121,2,25216,3540,7123379,SouthAmerica
116,115.0,BurkinaFaso,832,18,52,0,672,108,0,40,2,0,0,20838531,Africa
117,116.0,Uruguay,769,0,22,0,618,129,5,221,6,38146,10985,3472528,SouthAmerica
118,117.0,Andorra,763,1,51,0,663,49,3,9877,660,3750,48542,77253,Europe
119,118.0,SierraLeone,735,28,42,2,293,400,0,92,5,0,0,7959309,Africa
120,119.0,Georgia,731,1,12,0,526,193,6,183,3,49093,12304,3989910,Asia
121,0.0,0,721,0,15,0,651,55,4,0,0,0,0,0,0
122,120.0,DiamondPrincess,712,0,13,0,651,48,4,0,0,0,0,0,0
123,121.0,Jordan,711,3,9,0,479,223,5,70,0,165109,16199,10192674,Asia
124,122.0,Chad,687,12,61,1,244,382,0,42,4,0,0,16372282,Africa
125,123.0,Nepal,682,79,4,1,112,566,0,23,0,146834,5049,29080393,Asia
126,124.0,SanMarino,666,1,42,0,270,354,1,19632,1238,3996,117793,33924,Europe
127,125.0,SouthSudan,655,0,8,0,6,641,0,59,0,3356,300,11180046,Africa
128,126.0,Ethiopia,655,73,5,0,159,491,0,6,0,83854,731,114646241,Africa
129,127.0,CAR,652,48,1,0,22,629,0,135,0,11570,2400,4820755,Africa
130,128.0,Malta,611,1,6,0,485,120,1,1384,14,61615,139582,441426,Europe
131,129.0,ChannelIslands,558,0,45,0,517,-4,0,3212,259,10255,59039,173698,Europe
132,130.0,Jamaica,552,2,9,0,211,332,1,186,3,10230,3456,2959871,NorthAmerica
133,131.0,Madagascar,542,15,2,0,147,393,6,20,0,5670,205,27611307,Africa
134,132.0,Tanzania,509,0,21,0,183,305,7,9,0,0,0,59541003,Africa
135,133.0,Congo,487,0,16,0,147,324,0,88,3,0,0,5502963,Africa
136,134.0,Réunion,452,0,1,0,411,40,2,505,1,17200,19225,894662,Africa
137,135.0,Taiwan,441,0,7,0,415,19,0,19,0,70880,2977,23812509,Asia
138,136.0,Palestine,423,0,3,0,357,63,0,83,0,44876,8819,5088300,Asia
139,137.0,CaboVerde,390,10,3,0,155,232,0,702,5,1307,2353,555360,Africa
140,138.0,Togo,381,0,12,0,141,228,0,46,1,16747,2028,8257247,Africa
141,139.0,IsleofMan,336,0,24,0,303,9,2,3953,282,4569,53761,84988,Europe
142,140.0,Rwanda,336,9,0,0,238,98,0,26,0,59369,4596,12916434,Africa
143,141.0,Mauritius,334,0,10,0,322,2,0,263,8,102247,80411,1271559,Africa
144,142.0,FrenchGuiana,328,0,1,0,145,182,0,1101,3,0,0,297814,SouthAmerica
145,143.0,Vietnam,326,1,0,0,272,54,2,3,0,275000,2828,97248575,Asia
146,144.0,Montenegro,324,0,9,0,315,0,0,516,14,10167,16188,628058,Europe
147,145.0,SaoTomeandPrincipe,299,48,11,3,4,284,0,1367,50,175,800,218720,Africa
148,146.0,Nicaragua,279,0,17,0,199,63,0,42,3,0,0,6616331,NorthAmerica
149,147.0,Liberia,265,0,26,0,141,98,0,53,5,0,0,5044519,Africa
150,148.0,Mauritania,262,25,9,3,15,238,0,57,2,2583,557,4635933,Africa
151,149.0,Eswatini,256,6,2,0,158,96,0,221,2,4994,4309,1158921,Africa
152,150.0,Yemen,233,11,44,2,10,179,0,8,1,120,4,29753775,Asia
153,151.0,Uganda,212,14,0,0,68,144,0,5,0,86714,1903,45574375,Africa
154,152.0,Mozambique,209,15,1,1,71,137,0,7,0,8796,282,31156229,Africa
155,153.0,Myanmar,203,2,6,0,123,74,0,4,0,18644,343,54372762,Asia
156,154.0,Martinique,197,0,14,0,91,92,0,525,37,0,0,375293,NorthAmerica
157,155.0,Benin,191,0,3,0,84,104,0,16,0,27954,2313,12087557,Africa
158,156.0,FaeroeIslands,187,0,0,0,187,0,0,3829,0,9178,187904,48844,Europe
159,157.0,Guadeloupe,161,0,14,0,115,32,3,402,35,3573,8930,400117,NorthAmerica
160,158.0,Gibraltar,154,0,0,0,147,7,0,4571,0,6524,193636,33692,Europe
161,159.0,Brunei,141,0,1,0,137,3,2,323,2,18411,42126,437047,Asia
162,160.0,Mongolia,141,0,0,0,33,108,25,43,0,12407,3791,3272661,Asia
163,161.0,Guyana,135,0,10,0,62,63,2,172,13,1457,1853,786170,SouthAmerica
164,162.0,Bermuda,133,0,9,0,81,43,2,2135,144,6362,102119,62300,NorthAmerica
165,163.0,CaymanIslands,129,0,1,0,61,67,0,1965,15,8426,128363,65642,NorthAmerica
166,164.0,Cambodia,124,0,0,0,122,2,1,7,0,16642,997,16694582,Asia
167,165.0,TrinidadandTobago,116,0,8,0,108,0,0,83,6,2930,2094,1399036,NorthAmerica
168,166.0,Syria,106,20,4,0,41,61,0,6,0,0,0,17453396,Asia
169,167.0,Malawi,101,18,4,0,33,64,1,5,0,2411,126,19074564,Africa
170,168.0,Aruba,101,0,3,0,95,3,3,946,28,2070,19396,106721,NorthAmerica
171,169.0,Bahamas,100,0,11,0,46,43,1,255,28,1972,5020,392857,NorthAmerica
172,170.0,Monaco,98,0,4,0,90,4,2,2499,102,0,0,39214,Europe
173,171.0,Barbados,92,0,7,0,70,15,4,320,24,4664,16232,287340,NorthAmerica
174,172.0,Comoros,87,0,1,0,21,65,0,100,1,0,0,867573,Africa
175,173.0,Liechtenstein,82,0,1,0,55,26,0,2151,26,900,23612,38117,Europe
176,174.0,SintMaarten,77,0,15,0,59,3,1,1798,350,438,10228,42825,NorthAmerica
177,175.0,Libya,75,0,3,0,40,32,0,11,0,4351,634,6861458,Africa
178,176.0,Angola,69,0,4,0,18,47,0,2,0,10000,305,32748622,Africa
179,177.0,FrenchPolynesia,60,0,0,0,60,0,0,214,0,3873,13795,280744,Australia/Oceania
180,178.0,Zimbabwe,56,0,4,0,25,27,0,4,0,37039,2496,14840039,Africa
181,179.0,Macao,45,0,0,0,45,0,0,69,0,0,0,648403,Asia
182,180.0,Burundi,42,0,1,0,20,21,0,4,0,284,24,11850302,Africa
183,181.0,SaintMartin,40,0,3,0,33,4,1,1036,78,553,14328,38595,NorthAmerica
184,182.0,Eritrea,39,0,0,0,39,0,0,11,0,0,0,3541249,Africa
185,183.0,Botswana,35,0,1,0,19,15,0,15,0,17631,7514,2346458,Africa
186,184.0,Bhutan,27,3,0,0,6,21,0,35,0,15607,20250,770726,Asia
187,185.0,AntiguaandBarbuda,25,0,3,0,19,3,1,256,31,183,1870,97846,NorthAmerica
188,186.0,Gambia,25,0,1,0,17,7,0,10,0,1476,613,2408973,Africa
189,187.0,Timor-Leste,24,0,0,0,24,0,0,18,0,738,561,1315727,Asia
190,188.0,Grenada,22,0,0,0,17,5,4,196,0,3007,26736,112471,NorthAmerica
191,189.0,Namibia,21,0,0,0,14,7,0,8,0,3117,1229,2535948,Africa
192,190.0,Laos,19,0,0,0,14,5,0,3,0,5795,798,7264396,Asia
193,192.0,Curaçao,18,1,1,0,14,3,0,110,6,572,3487,164026,NorthAmerica
194,191.0,Belize,18,0,2,0,16,0,0,45,5,1435,3616,396850,NorthAmerica
195,193.0,Fiji,18,0,0,0,15,3,0,20,0,1300,1451,895784,Australia/Oceania
196,196.0,St.VincentGrenadines,18,0,0,0,14,4,0,162,0,209,1884,110905,NorthAmerica
197,195.0,SaintLucia,18,0,0,0,18,0,0,98,0,898,4893,183543,NorthAmerica
198,194.0,NewCaledonia,18,0,0,0,18,0,0,63,0,5454,19122,285215,Australia/Oceania
199,197.0,Dominica,16,0,0,0,16,0,0,222,0,433,6017,71968,NorthAmerica
200,198.0,SaintKittsandNevis,15,0,0,0,15,0,0,282,0,394,7411,53161,NorthAmerica
201,199.0,FalklandIslands,13,0,0,0,13,0,0,3749,0,445,128316,3468,SouthAmerica
202,200.0,TurksandCaicos,12,0,1,0,10,1,0,310,26,126,3259,38662,NorthAmerica
203,201.0,Greenland,12,0,0,0,11,1,0,211,0,1885,33210,56760,NorthAmerica
204,202.0,VaticanCity,12,0,0,0,2,10,0,14981,0,0,0,801,Europe
205,205.0,Seychelles,11,0,0,0,11,0,0,112,0,0,0,98285,Africa
